id,title,genres,year,keywords,cast,director,vote_average,release_date,popularity
76682,Jab Jab Phool Khile,"Drama, Romance",1965,"houseboat, kashmir","Shashi Kapoor, Nanda, Agha",Suraj Prakash,4.2,1965-01-07,0.8832
14394,Sarkar Raj,"Action, Adventure, Crime, Drama",2008,corruption,"Amitabh Bachchan, Abhishek Bachchan, Aishwarya Rai Bachchan",Ram Gopal Varma,6.5,2008-06-06,0.8828
159434,"Good Boy, Bad Boy","Comedy, Romance",2007,,"Tusshar Kapoor, Emraan Hashmi, Isha Sharvani",Ashwini Chaudhary,4.5,2007-05-11,0.8826
658767,Intercourse,,2019,,"Anushree Datta, Aman, Vipin Singh",Tanveer Hashmi,6.0,2019-12-25,0.8825
183586,Katha,"Comedy, Drama",1982,woman director,"Naseeruddin Shah, Farooq Shaikh, Deepti Naval",Sai Paranjape,5.2,1982-12-22,0.8823
84693,Naram Garam,"Drama, Comedy",1981,,"Amol Palekar, Swaroop Sampat, Utpal Dutt",Hrishikesh Mukherjee,6.2,1981-02-28,0.985
254171,Bewakoofiyaan,"Romance, Comedy, Drama",2014,"recession, romcom, slice of life, boyfriend girlfriend relationship, father daughter relationship","Rishi Kapoor, Ayushmann Khurrana, Sonam Kapoor Ahuja",Nupur Asthana,5.6,2014-03-13,0.8814
354547,Hawa,"Drama, Horror",2003,rape,"Tabu, Shahbaz Khan, Mukesh Tiwari",Guddu Dhanoa,2.7,2003-07-04,1.0918
509705,Yaadgaar,"Action, Drama, Comedy",1984,,"Sanjeev Kumar, Kamal Haasan, Poonam Dhillon",Dasari Narayana Rao,6.0,1984-07-20,0.881
16894,Akele Hum Akele Tum,Drama,1995,,"Aamir Khan, Manisha Koirala, Tanvi Azmi",Mansoor Khan,6.5,1995-11-30,1.2322
611356,Gulabo Sitabo,"Drama, Comedy",2020,,"Amitabh Bachchan, Ayushmann Khurrana, Farrukh Jaffar",Shoojit Sircar,5.9,2020-06-12,0.8807
20931,Taxi No. 9211,"Comedy, Drama, Thriller",2006,,"John Abraham, Nana Patekar, Sameera Reddy",Milan Luthria,6.2,2006-02-24,0.8796
65624,Nakshatra,"Thriller, Crime, Drama, Mystery, Romance",2010,,"Anupam Kher, Milind Soman, Shubha Mudgal",Mohan Savalkar,8.0,2010-10-29,0.8785
248698,Dedh Ishqiya,"Comedy, Drama, Romance",2014,,"Naseeruddin Shah, Madhuri Dixit, Arshad Warsi",Abhishek Chaubey,6.6,2014-01-10,0.8783
37690,Paathshaala,"Drama, Family",2010,"teacher, school, revolt","Shahid Kapoor, Nana Patekar, Ayesha Takia",Milind Ukey,4.9,2010-04-16,0.8782
331295,Gair Kanooni,"Drama, Action, Comedy",1989,"criminal underworld, baby switching","Govinda, Rajinikanth, Kader Khan",Prayag Raj,4.0,1989-03-17,0.878
103865,Mera Gaon Mera Desh,"Adventure, Drama, Action",1971,,"Asha Parekh, Dharmendra, Vinod Khanna",Raj Khosla,5.0,1971-04-06,0.8927
273505,Humshakals,Comedy,2014,,"Saif Ali Khan, Ritesh Deshmukh, Ram Kapoor",Sajid Khan,3.2,2014-06-20,0.8771
142673,Deewana Mastana,"Comedy, Romance",1997,,"Anil Kapoor, Govinda, Juhi Chawla Mehta",David Dhawan,6.2,1997-10-24,0.8768
81273,The Dirty Picture,"Comedy, Drama",2011,biography,"Vidya Balan, Emraan Hashmi, Tusshar Kapoor",Milan Luthria,6.3,2011-12-02,0.8766
456567,Bhoomi,"Action, Drama",2017,"rape, revenge, gang rape, injury, father daughter relationship","Sanjay Dutt, Aditi Rao Hydari, Sharad Kelkar",Omung Kumar,5.9,2017-09-22,0.8762
218898,Zanjeer,"Action, Crime, Drama",2013,gangster,"Ram Charan, Prakash Raj, Priyanka Chopra Jonas",Apoorva Lakhia,4.6,2013-09-05,1.0478
147767,Khiladi 786,"Action, Comedy",2012,,"Akshay Kumar, Asin Thottumkal, Himesh Reshammiya",Ashish R. Mohan,4.6,2012-12-07,0.8753
45667,Yeh Vaada Raha,"Drama, Romance",1982,,"Rishi Kapoor, Poonam Dhillon, Tina Munim",Kapil Kapoor,6.1,1982-04-09,0.8749
911853,Abhimanyu,"Action, Comedy, Drama",1989,,"Anil Kapoor, Kimi Katkar, Poonam Dhillon",Tony Juneja,4.0,1989-06-08,0.8748
321963,Nazrana,,1987,,"Rajesh Khanna, Sridevi, Smita Patil",Ravi Tandon,10.0,1987-01-27,0.9618
55658,Ek Ruka Hua Faisla,Drama,1986,"jury, remake, justice","Deepak Qazir, Amitabh Shrivastava, Pankaj Kapur",Basu Chatterjee,7.9,1986-07-23,0.8739
242826,The Churning,Drama,1976,"milk, india, veterinary","Smita Patil, Girish Karnad, Kulbhushan Kharbanda",Shyam Benegal,6.9,1976-10-01,1.7681
142631,Love Ke Liye Kuch Bhi Karega,Comedy,2001,"kidnapping, remake, ransom demand","Saif Ali Khan, Fardeen Khan, Aftab Shivdasani",Eeshwar Nivas,5.7,2001-06-21,0.8738
54654,Meri Jung,Drama,1985,,"Anil Kapoor, Meenakshi Sheshadri, Nutan",Subhash Ghai,7.6,1985-08-11,0.8736
302705,Aaj Ka Goonda Raaj,"Thriller, Action",1992,,"Chiranjeevi, Raj Babbar, Meenakshi Sheshadri",Ravi Raja Pinisetty,4.0,1992-07-10,0.8735
1389152,Hisaab Barabar,"Drama, Thriller, Comedy",2024,"train ticket, fraudster, financial scam","R. Madhavan, Kirti Kulhari, Neil Nitin Mukesh",Ashwni Dhir,4.0,2024-11-26,0.8728
